brand,model,year,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,kz_registration,imgs_count,g_start_year,g_end_year,g_is_current,g_number,g_is_restyling,g_age_car_release,g_span,generation_number_missing,is_premium,city_name,region,city_tier,is_big_city,is_electric,car_age,is_new_car,is_recent_car,is_old_car,age_bucket,is_metallic,base_color,color_known,log_mileage,mileage_per_year,log_mileage_per_year,has_low_mileage,has_high_mileage,is_automatic_like,body_segment,log_imgs_count,has_few_photos,has_many_photos,brand_model
Lexus,RX 330,2004,Кроссовер,бензин,3.3,300000,Автомат,Полный привод,1,1,15,2003.0,2006.0,0.0,2.0,0.0,1.0,3.0,0,1,Шымкент,Туркестанская область,tier_2,1,0,22,0,0,1,20_plus,0,серый,1,12.611541086966115,13636.363636363636,9.520568630924599,0,0,1,suv_like,2.772588722239781,0,1,Lexus__RX 330
Lexus,GS 300,2005,Седан,бензин,3.0,280000,Автомат,Полный привод,1,1,7,2004.0,2007.0,0.0,3.0,0.0,1.0,3.0,0,1,Астана,Акмолинская область,tier_1,1,0,21,0,0,1,20_plus,0,серебристый,1,12.54254845357358,13333.333333333334,9.498097441615604,0,0,1,sedan_like,2.0794415416798357,0,0,Lexus__GS 300
Lexus,GS 300,2000,Седан,бензин,3.0,300000,Автомат,Задний привод,1,1,16,2000.0,2004.0,0.0,2.0,1.0,0.0,4.0,0,1,Алматы,Алматинская область,tier_1,1,0,26,0,0,1,20_plus,1,серебристый,1,12.611541086966115,11538.461538461539,9.353527878528185,0,0,1,sedan_like,2.833213344056216,0,1,Lexus__GS 300
Toyota,Land Cruiser Prado,2017,Внедорожник,дизель,3.0,115000,Автомат,Полный привод,1,1,8,2013.0,2017.0,0.0,0.0,1.0,4.0,4.0,1,0,Алматы,Алматинская область,tier_1,1,0,9,0,0,0,8_12,0,белый,1,11.652696102959753,12777.777777777777,9.455541087816512,0,0,1,suv_like,2.1972245773362196,0,0,Toyota__Land Cruiser Prado
Mercedes-Benz,CLA 200,2014,Седан,бензин,1.6,116653,Робот,Передний привод,1,1,7,2013.0,2016.0,0.0,0.0,0.0,1.0,3.0,1,1,Алматы,Алматинская область,tier_1,1,0,12,0,0,0,8_12,0,белый,1,11.666967567474611,9721.083333333334,9.182155209193159,0,0,1,sedan_like,2.0794415416798357,0,0,Mercedes-Benz__CLA 200
Audi,A6,1997,Седан,бензин,2.6,123456,Механика,Передний привод,1,1,27,1994.0,1997.0,0.0,0.0,0.0,3.0,3.0,1,1,Астана,Акмолинская область,tier_1,1,0,29,0,0,1,20_plus,1,черный,1,11.723648196284437,4257.103448275862,8.356579140197258,1,0,0,sedan_like,3.332204510175204,0,1,Audi__A6
Audi,A6,1994,Универсал,бензин,2.6,221265,Механика,Передний привод,1,1,28,1994.0,1997.0,0.0,0.0,0.0,0.0,3.0,1,1,Караганда,Карагандинская область,regional_center,0,0,32,0,0,1,20_plus,0,unknown,0,12.307120876639653,6914.53125,8.841525066889055,0,0,0,compact_wagon,3.367295829986474,0,1,Audi__A6
Mercedes-Benz,E 350,2020,Седан,бензин,2.0,62000,Автомат,Полный привод,1,1,30,2020.0,2026.0,1.0,0.0,1.0,0.0,6.0,1,1,Алматы,Алматинская область,tier_1,1,0,6,0,0,0,4_7,1,серый,1,11.034905792929415,10333.333333333334,9.243226964310402,0,0,1,sedan_like,3.4339872044851463,0,1,Mercedes-Benz__E 350
Chevrolet,Cobalt,2022,Седан,бензин,1.5,120000,Автомат,Передний привод,1,1,8,2020.0,2026.0,1.0,2.0,1.0,2.0,6.0,0,0,Караганда,Карагандинская область,regional_center,0,0,4,0,0,0,4_7,0,черный,1,11.695255355062795,30000.0,10.308985993422082,0,1,1,sedan_like,2.1972245773362196,0,0,Chevrolet__Cobalt
Mercedes-Benz,E 300,2018,Седан,бензин,2.0,186000,Автомат,Полный привод,1,1,13,2016.0,2020.0,0.0,0.0,0.0,2.0,4.0,1,1,Алматы,Алматинская область,tier_1,1,0,8,0,0,0,8_12,0,unknown,0,12.133507329024972,23250.0,10.054103420843255,0,0,1,sedan_like,2.639057329615259,0,0,Mercedes-Benz__E 300
Toyota,Land Cruiser,2021,Внедорожник,бензин,3.5,50000,Автомат,Полный привод,1,1,11,2021.0,2026.0,1.0,0.0,0.0,0.0,5.0,1,0,Шымкент,Туркестанская область,tier_2,1,0,5,0,0,0,4_7,0,unknown,0,10.819798284210286,10000.0,9.210440366976517,0,0,1,suv_like,2.4849066497880004,0,0,Toyota__Land Cruiser
Hyundai,Elantra,2018,Седан,бензин,2.0,112000,Автомат,Передний привод,1,1,19,2015.0,2020.0,0.0,6.0,0.0,3.0,5.0,0,0,Актобе,Актюбинская область,regional_center,0,0,8,0,0,0,8_12,1,серый,1,11.626263078808801,14000.0,9.546884034617925,0,0,1,sedan_like,2.995732273553991,0,1,Hyundai__Elantra
Mercedes-Benz,G 63 AMG,2013,Внедорожник,бензин,5.5,140000,Автомат,Полный привод,1,1,5,2012.0,2015.0,0.0,0.0,1.0,1.0,3.0,1,1,Алматы,Алматинская область,tier_1,1,0,13,0,0,0,13_20,1,черный,1,11.849404844423074,10769.23076923077,9.284541196961804,0,0,1,suv_like,1.791759469228055,0,0,Mercedes-Benz__G 63 AMG
Hyundai,Tucson,2021,Кроссовер,бензин,2.0,110000,Автомат,Полный привод,1,1,8,2018.0,2021.0,0.0,3.0,1.0,3.0,3.0,0,0,Павлодар,Павлодарская область,regional_center,0,0,5,0,0,0,4_7,0,черный,1,11.608244735642321,22000.0,9.99884318585288,0,0,1,suv_like,2.1972245773362196,0,0,Hyundai__Tucson
