kolesa_id,brand,body_type,img_filename,target
220599328,Chevrolet,Седан,220599328.webp,2
222486528,Chevrolet,Седан,222486528.webp,2
218695550,Chevrolet,Внедорожник,218695550.webp,2
214781208,Chevrolet,Седан,214781208.webp,2
222346737,Chevrolet,Седан,222346737.webp,2
222200660,Chevrolet,Седан,222200660.webp,2
218828449,Chevrolet,Седан,218828449.webp,2
222504331,Chevrolet,Седан,222504331.webp,2
215558933,Chevrolet,Седан,215558933.webp,2
221579434,Chevrolet,Седан,221579434.webp,2
222591684,Chevrolet,Седан,222591684.webp,2
219007062,Chevrolet,Седан,219007062.webp,2
222824621,Chevrolet,Седан,222824621.webp,2
221582711,Chevrolet,Внедорожник,221582711.webp,2
218760992,Chevrolet,Седан,218760992.webp,2
221990583,Chevrolet,Седан,221990583.webp,2
220872304,Chevrolet,Седан,220872304.webp,2
216415821,Chevrolet,Кроссовер,216415821.webp,2
221944895,Chevrolet,Седан,221944895.webp,2
219629776,Chevrolet,Седан,219629776.webp,2
220479985,Chevrolet,Внедорожник,220479985.webp,2
209912475,Chevrolet,Седан,209912475.webp,2
222381795,Chevrolet,Седан,222381795.webp,2
222820232,Chevrolet,Внедорожник,222820232.webp,2
219403477,Chevrolet,Внедорожник,219403477.webp,2
199281563,Chevrolet,Внедорожник,199281563.webp,2
222231430,Chevrolet,Седан,222231430.webp,2
222001705,Chevrolet,Седан,222001705.webp,2
219883578,Chevrolet,Седан,219883578.webp,2
222821441,Chevrolet,Внедорожник,222821441.webp,2
218600266,Chevrolet,Седан,218600266.webp,2
222851201,Chevrolet,Седан,222851201.webp,2
219220649,Chevrolet,Седан,219220649.webp,2
221803678,Chevrolet,Седан,221803678.webp,2
221186332,Chevrolet,Седан,221186332.webp,2
222164499,Chevrolet,Седан,222164499.webp,2
222221360,Chevrolet,Седан,222221360.webp,2
219118910,Chevrolet,Седан,219118910.webp,2
204244578,Chevrolet,Седан,204244578.webp,2
221876369,Chevrolet,Седан,221876369.webp,2
222108957,Chevrolet,Седан,222108957.webp,2
221370057,Chevrolet,Кроссовер,221370057.webp,2
204829747,Chevrolet,Седан,204829747.webp,2
216713322,Chevrolet,Внедорожник,216713322.webp,2
220224476,Chevrolet,Седан,220224476.webp,2
215075389,Chevrolet,Внедорожник,215075389.webp,2
217415617,Chevrolet,Седан,217415617.webp,2
222892264,Chevrolet,Седан,222892264.webp,2
211612040,Chevrolet,Седан,211612040.webp,2
218106360,Chevrolet,Седан,218106360.webp,2
222891847,Chevrolet,Седан,222891847.webp,2
221190855,Chevrolet,Седан,221190855.webp,2
219158421,Chevrolet,Седан,219158421.webp,2
222890090,Chevrolet,Кроссовер,222890090.webp,2
220167635,Chevrolet,Седан,220167635.webp,2
219591894,Chevrolet,Седан,219591894.webp,2
222792311,Chevrolet,Седан,222792311.webp,2
222889946,Chevrolet,Седан,222889946.webp,2
222888924,Chevrolet,Седан,222888924.webp,2
220602052,Chevrolet,Седан,220602052.webp,2
216895797,Chevrolet,Седан,216895797.webp,2
222887981,Chevrolet,Внедорожник,222887981.webp,2
222887729,Chevrolet,Седан,222887729.webp,2
222846606,Chevrolet,Седан,222846606.webp,2
222886932,Chevrolet,Седан,222886932.webp,2
222886306,Chevrolet,Седан,222886306.webp,2
221496985,Chevrolet,Седан,221496985.webp,2
222886208,Chevrolet,Седан,222886208.webp,2
215731112,Chevrolet,Внедорожник,215731112.webp,2
189590239,Chevrolet,Кроссовер,189590239.webp,2
217397782,Chevrolet,Седан,217397782.webp,2
219548317,Chevrolet,Седан,219548317.webp,2
216153621,Chevrolet,Седан,216153621.webp,2
195420187,Chevrolet,Внедорожник,195420187.webp,2
222882177,Chevrolet,Седан,222882177.webp,2
210939327,Chevrolet,Седан,210939327.webp,2
220753964,Chevrolet,Седан,220753964.webp,2
222882663,Chevrolet,Седан,222882663.webp,2
220660269,Chevrolet,Кроссовер,220660269.webp,2
222882375,Chevrolet,Седан,222882375.webp,2
222881572,Chevrolet,Седан,222881572.webp,2
221310939,Chevrolet,Седан,221310939.webp,2
222881535,Chevrolet,Седан,222881535.webp,2
222881188,Chevrolet,Седан,222881188.webp,2
222880199,Chevrolet,Седан,222880199.webp,2
222879903,Chevrolet,Седан,222879903.webp,2
196746433,Chevrolet,Внедорожник,196746433.webp,2
216792633,Chevrolet,Седан,216792633.webp,2
222878694,Chevrolet,Седан,222878694.webp,2
222879193,Chevrolet,Седан,222879193.webp,2
222877956,Chevrolet,Седан,222877956.webp,2
221645447,Chevrolet,Внедорожник,221645447.webp,2
201189080,Chevrolet,Седан,201189080.webp,2
222832704,Chevrolet,Седан,222832704.webp,2
222874740,Chevrolet,Седан,222874740.webp,2
222172194,Chevrolet,Седан,222172194.webp,2
222875874,Chevrolet,Внедорожник,222875874.webp,2
221287337,Chevrolet,Кроссовер,221287337.webp,2
222875061,Chevrolet,Седан,222875061.webp,2
200687424,Chevrolet,Седан,200687424.webp,2
222875304,Chevrolet,Седан,222875304.webp,2
221778603,Chevrolet,Седан,221778603.webp,2
214180980,Chevrolet,Седан,214180980.webp,2
222874708,Chevrolet,Седан,222874708.webp,2
222874036,Chevrolet,Седан,222874036.webp,2
222874297,Chevrolet,Седан,222874297.webp,2
184654841,Chevrolet,Седан,184654841.webp,2
190600684,Chevrolet,Седан,190600684.webp,2
222270058,Chevrolet,Седан,222270058.webp,2
222873039,Chevrolet,Внедорожник,222873039.webp,2
222873856,Chevrolet,Кроссовер,222873856.webp,2
221971452,Kia,Седан,221971452.webp,4
184557634,Kia,Кроссовер,184557634.webp,4
222310850,Kia,Седан,222310850.webp,4
222121866,Kia,Седан,222121866.webp,4
221927818,Kia,Седан,221927818.webp,4
222113484,Kia,Седан,222113484.webp,4
221271610,Kia,Седан,221271610.webp,4
221267465,Kia,Седан,221267465.webp,4
222601088,Kia,Седан,222601088.webp,4
220767511,Kia,Седан,220767511.webp,4
220169437,Kia,Кроссовер,220169437.webp,4
219736261,Kia,Седан,219736261.webp,4
221699627,Kia,Седан,221699627.webp,4
221657350,Kia,Кроссовер,221657350.webp,4
222552294,Kia,Седан,222552294.webp,4
215514667,Kia,Кроссовер,215514667.webp,4
209019163,Kia,Кроссовер,209019163.webp,4
222562374,Kia,Кроссовер,222562374.webp,4
222179283,Kia,Седан,222179283.webp,4
