brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price
Chevrolet,Cobalt,"    2011 - н.в. 2 поколение
",2021,"Астана, Акмолинская область",Седан,бензин,1.5,145113,Автомат,Передний привод,Слева,черный,Да,25,4490000
Chevrolet,Monza,"    2022 - н.в. 2 поколение рестайлинг
",2023,"Астана, Акмолинская область",Седан,бензин,1.5,20000,Робот,Передний привод,Слева,серый металлик,Да,6,6400000
Chevrolet,Captiva,"    2018 - н.в. 2 поколение
",2021,"Алматы, Алматинская область",Внедорожник,бензин,1.5,85024,Автомат,Передний привод,Слева,серый,Да,27,7150000
Chevrolet,Cruze,"    2012 - 2015 J300 рестайлинг
",2013,"Алматы, Алматинская область",Хэтчбек,бензин,1.8,146000,Автомат,Передний привод,Слева,серебристый,Да,8,4400000
Chevrolet,Aveo,"    2006 - 2012 T250 рестайлинг (T250/T255)
",2007,"Астана, Акмолинская область",Седан,бензин,1.4,216000,Автомат,Передний привод,Слева,unknown,Да,10,2450000
Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2022,"Кызылорда, Кызылординская область",Седан,бензин,1.5,124000,Автомат,Передний привод,Слева,серебристый металлик,Да,14,5200000
Chevrolet,Cruze,"    2012 - 2015 J300 рестайлинг
",2013,"Астана, Акмолинская область",Седан,бензин,1.8,180,Автомат,Передний привод,Слева,unknown,Да,10,2900000
Chevrolet,Nexia,"    2020 - н.в. 1 поколение
",2021,"Павлодар, Павлодарская область",Седан,бензин,1.5,104845,Механика,Передний привод,Слева,синий,Да,29,3190000
Chevrolet,Malibu,"    2015 - 2018 9 поколение
",2016,"Алматы, Алматинская область",Седан,бензин,1.5,150000,Автомат,Передний привод,Слева,черный,Да,10,6000000
Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2023,"Алматы, Алматинская область",Седан,бензин,1.5,17000,Автомат,Передний привод,Слева,серебристый металлик,Да,7,4900000
Chevrolet,Cobalt,"    2011 - н.в. 2 поколение
",2025,"Астана, Акмолинская область",Седан,бензин,1.5,30000,Автомат,Передний привод,Слева,серый металлик,Да,8,5800000
Chevrolet,Cobalt,"    2011 - н.в. 2 поколение
",2022,"Астана, Акмолинская область",Седан,бензин,1.5,132000,Автомат,Передний привод,Слева,синий металлик,Да,12,4600000
Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2022,"Актобе, Актюбинская область",Седан,бензин,1.5,120000,Автомат,Передний привод,Слева,белый,Да,7,4900000
Chevrolet,Camaro,"    2009 - 2013 5 поколение
",2012,"Актобе, Актюбинская область",Кабриолет,бензин,3.6,150000,Автомат,Задний привод,Слева,красный металлик,Да,9,12200000
Chevrolet,Lacetti,"    2013 - 2024 1 поколение рестайлинг
",2023,"Шымкент, Туркестанская область",Седан,бензин,1.5,26000,Автомат,Передний привод,Слева,белый,Да,6,6000000
Chevrolet,Niva,"    2009 - н.в. 1 поколение рестайлинг (2123)
",2020,"Актобе, Актюбинская область",Внедорожник,бензин,1.7,116500,Механика,Полный привод,Слева,unknown,Да,21,4750000
Chevrolet,Lacetti,"    2013 - 2024 1 поколение рестайлинг
",2023,"Алматы, Алматинская область",Седан,бензин,1.5,25694,Автомат,Передний привод,Слева,серебристый,Да,44,5130000
Chevrolet,Cruze,"    2012 - 2015 J300 рестайлинг
",2013,"Алматы, Алматинская область",Хэтчбек,бензин,1.8,161140,Автомат,Передний привод,Слева,золотистый металлик,Да,14,4000000
Chevrolet,Monza,"    2022 - н.в. 2 поколение рестайлинг
",2024,"Актобе, Актюбинская область",Седан,бензин,1.5,40000,Робот,Передний привод,Слева,unknown,Да,25,7300000
Chevrolet,Malibu,"    2018 - н.в. 9 поколение рестайлинг
",2021,"Караганда, Карагандинская область",Седан,бензин,1.5,101815,Автомат,Передний привод,Слева,серый,Да,27,5940000
