kolesa_id,body_type,img_filename,target
220599328,Седан,220599328.webp,0
222486528,Седан,222486528.webp,0
218695550,Внедорожник,218695550.webp,1
214781208,Седан,214781208.webp,0
222346737,Седан,222346737.webp,0
222200660,Седан,222200660.webp,0
218828449,Седан,218828449.webp,0
222504331,Седан,222504331.webp,0
215558933,Седан,215558933.webp,0
221579434,Седан,221579434.webp,0
222591684,Седан,222591684.webp,0
219007062,Седан,219007062.webp,0
222824621,Седан,222824621.webp,0
221582711,Внедорожник,221582711.webp,1
218760992,Седан,218760992.webp,0
221990583,Седан,221990583.webp,0
220872304,Седан,220872304.webp,0
216415821,Кроссовер,216415821.webp,1
221944895,Седан,221944895.webp,0
219629776,Седан,219629776.webp,0
220479985,Внедорожник,220479985.webp,1
209912475,Седан,209912475.webp,0
222381795,Седан,222381795.webp,0
222820232,Внедорожник,222820232.webp,1
219403477,Внедорожник,219403477.webp,1
199281563,Внедорожник,199281563.webp,1
222231430,Седан,222231430.webp,0
222001705,Седан,222001705.webp,0
219883578,Седан,219883578.webp,0
222821441,Внедорожник,222821441.webp,1
218600266,Седан,218600266.webp,0
222851201,Седан,222851201.webp,0
219220649,Седан,219220649.webp,0
221803678,Седан,221803678.webp,0
221186332,Седан,221186332.webp,0
222164499,Седан,222164499.webp,0
222221360,Седан,222221360.webp,0
219118910,Седан,219118910.webp,0
204244578,Седан,204244578.webp,0
221876369,Седан,221876369.webp,0
222108957,Седан,222108957.webp,0
221370057,Кроссовер,221370057.webp,1
204829747,Седан,204829747.webp,0
216713322,Внедорожник,216713322.webp,1
220224476,Седан,220224476.webp,0
215075389,Внедорожник,215075389.webp,1
217415617,Седан,217415617.webp,0
222892264,Седан,222892264.webp,0
211612040,Седан,211612040.webp,0
218106360,Седан,218106360.webp,0
222891847,Седан,222891847.webp,0
221190855,Седан,221190855.webp,0
219158421,Седан,219158421.webp,0
222890090,Кроссовер,222890090.webp,1
220167635,Седан,220167635.webp,0
219591894,Седан,219591894.webp,0
222792311,Седан,222792311.webp,0
222889946,Седан,222889946.webp,0
222888924,Седан,222888924.webp,0
220602052,Седан,220602052.webp,0
216895797,Седан,216895797.webp,0
222887981,Внедорожник,222887981.webp,1
222887729,Седан,222887729.webp,0
222846606,Седан,222846606.webp,0
222886932,Седан,222886932.webp,0
222886306,Седан,222886306.webp,0
221496985,Седан,221496985.webp,0
222886208,Седан,222886208.webp,0
215731112,Внедорожник,215731112.webp,1
189590239,Кроссовер,189590239.webp,1
217397782,Седан,217397782.webp,0
219548317,Седан,219548317.webp,0
216153621,Седан,216153621.webp,0
195420187,Внедорожник,195420187.webp,1
222882177,Седан,222882177.webp,0
210939327,Седан,210939327.webp,0
220753964,Седан,220753964.webp,0
222882663,Седан,222882663.webp,0
