kolesa_id,kolesa_url,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price,img_filename,img_url,found_img
199898716,https://kolesa.kz/a/show/199898716?search_id=e5f9cb6e6c0f373e7e6a5bf72fba152b403d0b2b&search_type=filter&advert_position=1801,2026-06-11 14:32:48.597644+03:00,Audi,Q7,"    2009 - 2015 1 поколение рестайлинг (4L)
",2009,"
                                    Актау, Мангистауская область

                            ","    Кроссовер
",бензин,3.6,219000,"    Автомат
","    Полный привод
","    Слева
","
                                        серый 
                                    ","    Нет
",8,3500000,199898716.webp,https://kolesa-photos.kcdn.online/webp/e8/e83d987d-fb8c-4063-9b96-9ff63a5f2cc6/2-750x470.webp,True
220589707,https://kolesa.kz/a/show/220589707?search_id=e5f9cb6e6c0f373e7e6a5bf72fba152b403d0b2b&search_type=filter&advert_position=1802,2026-06-11 14:33:02.346889+03:00,Audi,A6,"    1994 - 1997 C4
",1996,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,2.6,404000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",11,2500000,220589707.webp,https://kolesa-photos.kcdn.online/webp/9e/9e60c971-71f0-4bd2-bf59-a1cf2e2f1d97/1-750x470.webp,True
206904594,https://kolesa.kz/a/show/206904594?search_id=e5f9cb6e6c0f373e7e6a5bf72fba152b403d0b2b&search_type=filter&advert_position=1804,2026-06-11 14:33:32.870785+03:00,Audi,A6,"    2004 - 2008 C6
",2006,"
                                    Ленгер, Туркестанская область

                            ","    Седан
",бензин,3.2,333333,"    Автомат
","    Полный привод
","    Слева
","
                                        красный 
                                    ","    Да
",5,2000000,206904594.webp,https://kolesa-photos.kcdn.online/webp/46/46941aa2-410f-4293-b9f3-a09ee70f7669/1-750x470.webp,True
202979841,https://kolesa.kz/a/show/202979841?search_id=e5f9cb6e6c0f373e7e6a5bf72fba152b403d0b2b&search_type=filter&advert_position=1807,2026-06-11 14:34:09.021574+03:00,Audi,A6 allroad,"    2000 - 2006 C5
",2001,"
                                    Щучинск, Акмолинская область

                            ","    Универсал
",бензин,2.7,482700,"    Автомат
","    Полный привод
","    Слева
","
                                        зеленый металлик
                                    ","    Да
",6,3400000,202979841.webp,https://kolesa-photos.kcdn.online/webp/d3/d3b2e01c-046c-4263-a27c-a040adc10043/1-750x470.webp,True
213164403,https://kolesa.kz/a/show/213164403?search_id=e5f9cb6e6c0f373e7e6a5bf72fba152b403d0b2b&search_type=filter&advert_position=1808,2026-06-11 14:34:23.716662+03:00,Audi,A6,"    1997 - 2001 C5
",1998,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,2.8,100000,"    Автомат
","    Полный привод
","    Слева
","
                                        синий 
                                    ","    Да
",7,3100000,213164403.webp,https://kolesa-photos.kcdn.online/webp/87/87999ba9-86de-4b52-9942-a1352dd81fd0/1-750x470.webp,True
210515569,https://kolesa.kz/a/show/210515569?search_id=e5f9cb6e6c0f373e7e6a5bf72fba152b403d0b2b&search_type=filter&advert_position=1809,2026-06-11 14:34:36.891099+03:00,Audi,e-tron,"    2018 - н.в. 1 поколение (GE)
",2021,"
                                    Алматы, Алматинская область

                            ","    Кроссовер
","    Электрический
",0.0,35000,"    Автомат
","    Полный привод
","    Слева
","
                                        красный металлик
                                    ","    Да
",19,30000000,210515569.webp,https://kolesa-photos.kcdn.online/webp/51/51f505e4-b72b-40ad-9c3f-a0f784b3daca/3-750x470.webp,True
221905749,https://kolesa.kz/a/show/221905749?search_id=e5f9cb6e6c0f373e7e6a5bf72fba152b403d0b2b&search_type=filter&advert_position=1810,2026-06-11 14:34:52.766162+03:00,Audi,A6,"    1994 - 1997 C4
",1994,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.6,400000,"    Механика
","    Передний привод
","    Слева
","
                                        серый металлик
                                    ","    Да
",13,2800000,221905749.webp,https://kolesa-photos.kcdn.online/webp/a2/a28024e8-6f51-4d06-a15f-a1e97c5260ee/2-750x470.webp,True
216550003,https://kolesa.kz/a/show/216550003?search_id=e5f9cb6e6c0f373e7e6a5bf72fba152b403d0b2b&search_type=filter&advert_position=1811,2026-06-11 14:35:08.994782+03:00,Audi,A8,"    2005 - 2007 2 поколение рестайлинг (A8)
",2005,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,4.2,385288,"    Автомат
","    Полный привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",16,5555555,216550003.webp,https://kolesa-photos.kcdn.online/webp/d6/d66bbb70-d986-465b-879b-a180b3e56305/2-750x470.webp,True
221541659,https://kolesa.kz/a/show/221541659?search_id=e5f9cb6e6c0f373e7e6a5bf72fba152b403d0b2b&search_type=filter&advert_position=1812,2026-06-11 14:35:24.992463+03:00,Audi,A6,"    1994 - 1997 C4
",1995,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,2.6,111111,"    Механика
","    Передний привод
","    Слева
","
                                        зеленый металлик
                                    ","    Да
",6,2900000,221541659.webp,https://kolesa-photos.kcdn.online/webp/4c/4c26ba1c-b814-4d6d-938a-a1e21b0e004f/3-750x470.webp,True
215390553,https://kolesa.kz/a/show/215390553?search_id=e5f9cb6e6c0f373e7e6a5bf72fba152b403d0b2b&search_type=filter&advert_position=1813,2026-06-11 14:35:40.657745+03:00,Audi,Q7,"    2015 - н.в. 2 поколение (4M)
",2023,"
                                    Алматы, Алматинская область

                            ","    Кроссовер
",бензин,3.0,37000,"    Автомат
","    Полный привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",13,35990000,215390553.webp,https://kolesa-photos.kcdn.online/webp/8f/8f8a8544-e9c6-4879-a3be-a1680e2eb9be/4-750x470.webp,True
