kolesa_id,kolesa_url,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price,img_filename,img_url,found_img
222346737,https://kolesa.kz/a/show/222346737?search_id=7be96b68671ccb72447ed03297570fcde4b6602b&search_type=filter&advert_position=221,2026-06-06 01:57:52.808205+03:00,Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2022,"
                                    Кызылорда, Кызылординская область

                            ","    Седан
",бензин,1.5,124000,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",14,5400000,222346737.webp,https://kolesa-photos.kcdn.online/webp/1c/1c185cda-5f30-48dc-8f39-a1f2901ef53f/3-750x470.webp,True
221431848,https://kolesa.kz/a/show/221431848?search_id=7be96b68671ccb72447ed03297570fcde4b6602b&search_type=filter&advert_position=222,2026-06-06 01:57:59.096066+03:00,Chevrolet,Onix,"    2019 - н.в. 2 поколение
",2023,"
                                    Атырау, Атырауская область

                            ","    Седан
",бензин,1.0,63500,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",5,5500000,221431848.webp,https://kolesa-photos.kcdn.online/webp/61/61125a56-a1bd-4ab7-868c-a1df9c9a1e6c/1-750x470.webp,True
221337363,https://kolesa.kz/a/show/221337363?search_id=7be96b68671ccb72447ed03297570fcde4b6602b&search_type=filter&advert_position=223,2026-06-06 01:58:07.080286+03:00,Chevrolet,Nexia,"    2020 - н.в. 1 поколение
",2023,"
                                    Костанай, Костанайская область

                            ","    Седан
",бензин,1.5,83000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",12,5200000,221337363.webp,https://kolesa-photos.kcdn.online/webp/02/0275ae6f-187c-4cf3-a569-a1ddaec5a695/3-750x470.webp,True
213353040,https://kolesa.kz/a/show/213353040?search_id=7be96b68671ccb72447ed03297570fcde4b6602b&search_type=filter&advert_position=224,2026-06-06 01:58:13.282225+03:00,Chevrolet,Captiva,"    2013 - 2016 1 поколение [2-й рестайлинг] (C100/C140)
",2014,"
                                    Павлодар, Павлодарская область

                            ","    Кроссовер
",бензин,2.4,215000,"    Автомат
","    Полный привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",19,6200000,213353040.webp,https://kolesa-photos.kcdn.online/webp/59/59e6e59a-5a87-43ad-b7e6-a139af3bb7be/6-750x470.webp,True
222255677,https://kolesa.kz/a/show/222255677?search_id=7be96b68671ccb72447ed03297570fcde4b6602b&search_type=filter&advert_position=225,2026-06-06 01:58:37.602457+03:00,Chevrolet,Tracker,"    2019 - н.в. 4 поколение
",2022,"
                                    Алматы, Алматинская область

                            ","    Кроссовер
",бензин,1.0,107321,"    Автомат
","    Передний привод
","    Слева
","
                                        серый 
                                    ","    Да
",0,5800000,222255677.webp,https://kolesa-photos.kcdn.online/webp/c3/c368f649-7b8d-46cb-9b29-a1f0bbc34e7d/1-750x470.webp,False
214378320,https://kolesa.kz/a/show/214378320?search_id=7be96b68671ccb72447ed03297570fcde4b6602b&search_type=filter&advert_position=226,2026-06-06 01:58:47.679043+03:00,Chevrolet,Onix,"    2019 - н.в. 2 поколение
",2025,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,1.0,20000,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",16,6200000,214378320.webp,https://kolesa-photos.kcdn.online/webp/1e/1e8729cd-66ef-405f-bc92-a151001c1f8a/12-750x470.webp,True
222304819,https://kolesa.kz/a/show/222304819?search_id=7be96b68671ccb72447ed03297570fcde4b6602b&search_type=filter&advert_position=227,2026-06-06 01:59:13.373838+03:00,Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2023,"
                                    Семей, Абайская область

                            ","    Седан
",бензин,1.5,105000,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый 
                                    ","    Да
",5,5200000,222304819.webp,https://kolesa-photos.kcdn.online/webp/da/da33009d-559b-4d8a-be0a-a1f171f404e2/1-750x470.webp,False
216822245,https://kolesa.kz/a/show/216822245?search_id=7be96b68671ccb72447ed03297570fcde4b6602b&search_type=filter&advert_position=228,2026-06-06 01:59:36.047858+03:00,Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2023,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,1.5,25000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",6,5800000,216822245.webp,https://kolesa-photos.kcdn.online/webp/58/58d9b09d-298a-42aa-b2e6-a186fd9ca3bd/2-750x470.webp,False
213529430,https://kolesa.kz/a/show/213529430?search_id=7be96b68671ccb72447ed03297570fcde4b6602b&search_type=filter&advert_position=229,2026-06-06 01:59:44.227254+03:00,Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2023,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,1.5,19000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",14,4900000,213529430.webp,https://kolesa-photos.kcdn.online/webp/53/53cbb724-fcf9-4b16-b93f-a13de49f957d/10-750x470.webp,True
222267617,https://kolesa.kz/a/show/222267617?search_id=7be96b68671ccb72447ed03297570fcde4b6602b&search_type=filter&advert_position=230,2026-06-06 01:59:53.117329+03:00,Chevrolet,Cobalt,"    2020 - н.в. 2 поколение рестайлинг
",2023,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,1.5,87500,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",16,4750000,222267617.webp,https://kolesa-photos.kcdn.online/webp/06/063a1009-0a1c-47c8-823b-a1f0e6e355c7/2-750x470.webp,True
