kolesa_id,kolesa_url,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price,img_filename,img_url,found_img
219030182,https://kolesa.kz/a/show/219030182?search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=681,2026-06-08 17:25:55.550668+03:00,Hyundai,Sonata,"    2023 - н.в. 8 поколение рестайлинг
",2023,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,2.5,49000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный 
                                    ","    Да
",59,14750000,219030182.webp,https://kolesa-photos.kcdn.online/webp/06/06fb1111-9be0-40dc-b8f0-a1b0ba934e50/37-750x470.webp,True
222533249,https://kolesa.kz/a/show/222533249?search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=682,2026-06-08 17:26:09.340360+03:00,Hyundai,Sonata,"    2001 - 2013 4 поколение рестайлинг (EF)
",2003,"
                                    Семей, Абайская область

                            ","    Седан
",бензин,2.0,390000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",8,2200000,222533249.webp,https://kolesa-photos.kcdn.online/webp/57/57a9db7d-816b-46cc-8f28-a1f6a16ec57a/2-750x470.webp,True
217419165,https://kolesa.kz/a/show/217419165?search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=683,2026-06-08 17:26:21.446598+03:00,Hyundai,Accent,"    2017 - н.в. 5 поколение (HC)
",2019,"
                                    Актау, Мангистауская область

                            ","    Седан
",бензин,1.6,57400,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",25,7000000,217419165.webp,https://kolesa-photos.kcdn.online/webp/97/977551fb-2065-466b-89a6-a192c44d22fc/30-750x470.webp,True
221593670,https://kolesa.kz/a/show/221593670?fromUserSearch=1&search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=684,2026-06-08 17:26:35.089559+03:00,Hyundai,Accent,"    2010 - 2017 4 поколение (RB/RC)
",2014,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,1.6,218169,"    Механика
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",23,2290000,221593670.webp,https://kolesa-photos.kcdn.online/webp/49/495e56ad-2280-4bb0-930d-a1e32736af7f/1-750x470.webp,True
220006127,https://kolesa.kz/a/show/220006127?search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=685,2026-06-08 17:26:46.688045+03:00,Hyundai,Sonata,"    2023 - н.в. 8 поколение рестайлинг
",2023,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.5,57000,"    Робот
","    Передний привод
","    Слева
","
                                        серебристый 
                                    ","    Да
",27,13700000,220006127.webp,https://kolesa-photos.kcdn.online/webp/ff/ff653d40-dc3a-4f49-bc0b-a1c3cc372294/3-750x470.webp,True
221554049,https://kolesa.kz/a/show/221554049?search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=686,2026-06-08 17:27:01.346609+03:00,Hyundai,Grandeur,"    2016 - 2019 IG
",2018,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,3.0,120000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",9,12600000,221554049.webp,https://kolesa-photos.kcdn.online/webp/1b/1bef63e3-713f-4598-9bf1-a1e29554d2b9/2-750x470.webp,True
206220252,https://kolesa.kz/a/show/206220252?search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=687,2026-06-08 17:27:15.481821+03:00,Hyundai,Tucson,"    2018 - 2021 3 поколение рестайлинг (TL/TLE)
",2018,"
                                    Атырау, Атырауская область

                            ","    Кроссовер
",бензин,2.0,185000,"    Автомат
","    Передний привод
","    Слева
","
                                        серый 
                                    ","    Нет
",11,5800000,206220252.webp,https://kolesa-photos.kcdn.online/webp/c4/c4944d5f-5227-47ef-a6e1-a08d38702caf/1-750x470.webp,True
205855368,https://kolesa.kz/a/show/205855368?search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=688,2026-06-08 17:27:29.078210+03:00,Hyundai,i20,"    2020 - н.в. 3 поколение (BC 3)
",2023,"
                                    Шымкент, Туркестанская область

                            ","    Хэтчбек
",бензин,1.5,39000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",14,6999999,205855368.webp,https://kolesa-photos.kcdn.online/webp/84/8438c85a-14cc-4cae-909c-a084ac6f1ffc/41-750x470.webp,True
215749689,https://kolesa.kz/a/show/215749689?search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=690,2026-06-08 17:27:56.896763+03:00,Hyundai,Sonata,"    2009 - 2014 6 поколение (YF)
",2009,"
                                    Алматы, Алматинская область

                            ","    Седан
",газ,2.0,390000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",7,4300000,215749689.webp,https://kolesa-photos.kcdn.online/webp/c4/c42ce9a5-8ab0-4c76-9532-a16f1ec9175c/8-750x470.webp,True
222227901,https://kolesa.kz/a/show/222227901?search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=691,2026-06-08 17:28:11.556768+03:00,Hyundai,Sonata,"    2019 - н.в. 8 поколение (DN8)
",2022,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,2.5,109000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",6,11300000,222227901.webp,https://kolesa-photos.kcdn.online/webp/32/32b77ac6-9b79-4ec4-94e5-a1efc0157dee/2-750x470.webp,True
209165232,https://kolesa.kz/a/show/209165232?search_id=8e36abfbd86506329a7e0fa06e9543d52c0a4549&search_type=filter&advert_position=692,2026-06-08 17:28:24.843974+03:00,Hyundai,Trajet,"    2004 - 2007 1 поколение рестайлинг (FO)
",2004,"
                                    Актау, Мангистауская область

                            ","    Минивэн
",газ-бензин,2.0,436000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",5,3300000,209165232.webp,https://kolesa-photos.kcdn.online/webp/e2/e21fa4b5-ed48-4d29-819f-a0d7b8c7c639/3-750x470.webp,True
