id,brand,model,year,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,kz_registration,price
222337474,Lexus,LX 570,2013,"    Внедорожник
",бензин,5.7,190000,"    Автомат
","    Полный привод
","    Слева
","    Да
",24000000
221858695,Lexus,RX 330,2005,"    Кроссовер
",бензин,3.3,302304,"    Автомат
","    Полный привод
","    Слева
","    Да
",7000000
222335175,Lexus,RX 330,2004,"    Кроссовер
",бензин,3.3,210000,"    Автомат
","    Передний привод
","    Слева
","    Да
",6600000
222333930,Lexus,ES 300h,2013,"    Седан
",гибрид,2.5,341108,"    Вариатор
","    Передний привод
","    Слева
","    Да
",7300000
221417080,Lexus,LX 570,2011,"    Внедорожник
",бензин,5.7,270000,"    Автомат
","    Полный привод
","    Слева
","    Да
",20500000
222334129,Lexus,ES 300,2001,"    Седан
",бензин,3.0,385116,"    Автомат
","    Передний привод
","    Слева
","    Да
",4200000
222333325,Lexus,ES 300h,2013,"    Седан
",гибрид,2.5,250000,"    Вариатор
","    Передний привод
","    Слева
","    Да
",8000000
221108552,Lexus,LX 570,2011,"    Внедорожник
",бензин,5.7,270000,"    Автомат
","    Полный привод
","    Слева
","    Да
",20500000
170571327,Lexus,IS 250,2009,"    Седан
",бензин,2.5,248000,"    Автомат
","    Полный привод
","    Слева
","    Да
",5000000
222332117,Lexus,GS 300,2000,"    Седан
",бензин,3.0,300000,"    Автомат
","    Задний привод
","    Слева
","    Да
",3500000
222035682,Lexus,ES 300h,2020,"    Седан
",гибрид,2.5,85000,"    Вариатор
","    Передний привод
","    Слева
","    Да
",25000000
222331903,Lexus,RX 300,2018,"    Кроссовер
",бензин,2.0,75000,"    Автомат
","    Полный привод
","    Слева
","    Да
",22500000
220012459,Lexus,RX 400h,2006,"    Кроссовер
",гибрид,3.3,270000,"    Вариатор
","    Полный привод
","    Слева
","    Да
",7200000
221763671,Lexus,NX 250,2022,"    Кроссовер
",бензин,2.5,29000,"    Автомат
","    Полный привод
","    Слева
","    Да
",23850000
218937601,Lexus,ES 300h,2013,"    Седан
",гибрид,2.5,150000,"    Вариатор
","    Передний привод
","    Слева
","    Да
",8000000
216770912,Lexus,RX 350,2017,"    Кроссовер
",бензин,3.5,107000,"    Автомат
","    Полный привод
","    Слева
","    Да
",13900000
221976343,Lexus,GX 460,2020,"    Внедорожник
",бензин,4.6,89000,"    Автомат
","    Полный привод
","    Слева
","    Да
",27500000
221675361,Lexus,ES 300h,2014,"    Седан
",гибрид,2.5,200000,"    Вариатор
","    Передний привод
","    Слева
","    Нет
",8600000
222181995,Lexus,RX 300,2002,"    Кроссовер
",бензин,3.0,210151,"    Автомат
","    Полный привод
","    Слева
","    Да
",5890000
216245375,Lexus,GX 470,2007,"    Внедорожник
",бензин,4.7,275000,"    Автомат
","    Полный привод
","    Слева
","    Да
",13200000
