kolesa_id,kolesa_url,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price,img_filename,img_url,found_img
222680672,https://kolesa.kz/a/show/222680672?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=902,2026-06-08 19:41:56.175120+03:00,Lexus,RX 300,"    1997 - 2003 1 поколение (MCU15)
",1999,"
                                    Семей, Абайская область

                            ","    Кроссовер
",бензин,3.0,270000,"    Автомат
","    Полный привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",5,4100000,222680672.webp,https://kolesa-photos.kcdn.online/webp/6d/6d1fb024-28b7-4038-addc-a1f99c35fb5a/2-750x470.webp,True
203521621,https://kolesa.kz/a/show/203521621?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=904,2026-06-08 19:42:20.960842+03:00,Lexus,GX 460,"    2013 - н.в. 2 поколение рестайлинг (URJ15/GRJ15)
",2017,"
                                    Алматы, Алматинская область

                            ","    Внедорожник
",бензин,4.6,128720,"    Автомат
","    Полный привод
","    Слева
","
                                        синий металлик
                                    ","    Да
",7,26500000,203521621.webp,https://kolesa-photos.kcdn.online/webp/a7/a795c256-2b29-4b71-a06c-a04ce63d9e54/1-750x470.webp,True
222680653,https://kolesa.kz/a/show/222680653?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=905,2026-06-08 19:42:32.931934+03:00,Lexus,ES 350,"    2012 - 2015 6 поколение (V6)
",2013,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,3.5,193575,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",18,9500000,222680653.webp,https://kolesa-photos.kcdn.online/webp/e7/e7ee2f6e-733e-4509-a1fb-a1f99c25e2eb/2-750x470.webp,True
203740831,https://kolesa.kz/a/show/203740831?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=906,2026-06-08 19:42:48.127873+03:00,Lexus,GS 300,"    2004 - 2007 3 поколение (S19)
",2005,"
                                    Усть-Каменогорск, Восточно-Казахстанская область

                            ","    Седан
",бензин,3.5,300000,"    Автомат
","    Задний привод
","    Слева
",,"    Да
",7,5500000,203740831.webp,https://kolesa-photos.kcdn.online/webp/c0/c0e1e2f7-8a52-4f75-86c7-a05258fef2fe/3-750x470.webp,True
210461172,https://kolesa.kz/a/show/210461172?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=907,2026-06-08 19:43:04.078959+03:00,Lexus,RX 300,"    1997 - 2003 1 поколение (MCU15)
",2001,"
                                    Павлодар, Павлодарская область

                            ","    Кроссовер
",бензин,3.0,402000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный 
                                    ","    Да
",12,4800000,210461172.webp,https://kolesa-photos.kcdn.online/webp/2e/2e67d838-6afd-45cf-8512-a0f5e8855868/4-750x470.webp,True
221221776,https://kolesa.kz/a/show/221221776?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=908,2026-06-08 19:43:18.246012+03:00,Lexus,RX 300,"    1997 - 2003 1 поколение (MCU15)
",1999,"
                                    Караганда, Карагандинская область

                            ","    Кроссовер
",бензин,3.0,333333,"    Автомат
","    Полный привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",7,4600000,221221776.webp,https://kolesa-photos.kcdn.online/webp/8b/8b1812a4-c84f-4c72-8ceb-a1db83f0031f/2-750x470.webp,True
218096720,https://kolesa.kz/a/show/218096720?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=910,2026-06-08 19:43:48.149431+03:00,Lexus,RX 300,"    1997 - 2003 1 поколение (MCU15)
",1999,"
                                    Семей, Абайская область

                            ","    Кроссовер
",бензин,3.0,205000,"    Автомат
","    Полный привод
","    Слева
","
                                        черный 
                                    ","    Да
",8,4500000,218096720.webp,https://kolesa-photos.kcdn.online/webp/d1/d1dace71-3928-4105-8a49-a19f0baaa7b1/2-750x470.webp,True
222679999,https://kolesa.kz/a/show/222679999?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=912,2026-06-08 19:44:16.995105+03:00,Lexus,RX 300,"    1997 - 2003 1 поколение (MCU15)
",1999,"
                                    Актобе, Актюбинская область

                            ","    Кроссовер
",бензин,3.0,353438,"    Автомат
","    Полный привод
","    Слева
","
                                        зеленый металлик
                                    ","    Да
",6,4200000,222679999.webp,https://kolesa-photos.kcdn.online/webp/c3/c387d166-3ef4-4b16-acc4-a1f99a20f798/4-750x470.webp,True
202082207,https://kolesa.kz/a/show/202082207?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=913,2026-06-08 19:44:28.899401+03:00,Lexus,RX 270,"    2008 - 2012 3 поколение (L1)
",2011,"
                                    Алматы, Алматинская область

                            ","    Кроссовер
",бензин,2.7,154020,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",5,10000000,202082207.webp,https://kolesa-photos.kcdn.online/webp/6c/6c726f9d-1d96-4494-93bf-a02a77ebf08d/2-750x470.webp,True
222677523,https://kolesa.kz/a/show/222677523?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=914,2026-06-08 19:44:41.621215+03:00,Lexus,ES 300h,"    2015 - 2018 6 поколение рестайлинг (V6)
",2016,"
                                    Астана, Акмолинская область

                            ","    Седан
",гибрид,2.5,255000,"    Вариатор
","    Передний привод
","    Слева
","
                                        серебристый 
                                    ","    Да
",14,12449000,222677523.webp,https://kolesa-photos.kcdn.online/webp/8d/8d0e0d43-47ca-467c-81d2-a1f99349c650/1-750x470.webp,True
222679436,https://kolesa.kz/a/show/222679436?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=915,2026-06-08 19:44:58.035037+03:00,Lexus,RX 300,"    1997 - 2003 1 поколение (MCU15)
",2001,"
                                    Талдыкорган, Жетысуская область

                            ","    Кроссовер
",бензин,3.0,298000,"    Автомат
","    Полный привод
","    Слева
","
                                        белый металлик
                                    ","    Да
",4,4500000,222679436.webp,https://kolesa-photos.kcdn.online/webp/cb/cbe2db69-d600-4a17-8339-a1f9987bfc64/1-750x470.webp,True
222679128,https://kolesa.kz/a/show/222679128?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=918,2026-06-08 19:45:43.314707+03:00,Lexus,ES 200,"    2015 - 2018 6 поколение рестайлинг (V6)
",2018,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,2.0,170000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",6,10950000,222679128.webp,https://kolesa-photos.kcdn.online/webp/d7/d71cefa7-eb77-44ed-87cf-a1f9979a0d04/7-750x470.webp,True
222678749,https://kolesa.kz/a/show/222678749?search_id=8ee622b4276799408a2214046c0d92e7b12f5b7c&search_type=filter&advert_position=919,2026-06-08 19:45:58.925916+03:00,Lexus,LX 570,"    2007 - 2012 3 поколение (J2)
",2011,"
                                    Актау, Мангистауская область

                            ","    Внедорожник
",бензин,5.7,225000,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",4,17700000,222678749.webp,https://kolesa-photos.kcdn.online/webp/25/256a6cc9-0120-4d5b-afee-a1f9967b79ec/1-750x470.webp,True
222679436,https://kolesa.kz/a/show/222679436?search_id=021a79c5f9aad0e07439cf1514c6d312a0bd39fa&search_type=filter&advert_position=921,2026-06-08 19:47:02.100755+03:00,Lexus,RX 300,"    1997 - 2003 1 поколение (MCU15)
",2001,"
                                    Талдыкорган, Жетысуская область

                            ","    Кроссовер
",бензин,3.0,298000,"    Автомат
","    Полный привод
","    Слева
","
                                        белый металлик
                                    ","    Да
",4,4500000,222679436.webp,https://kolesa-photos.kcdn.online/webp/cb/cbe2db69-d600-4a17-8339-a1f9987bfc64/1-750x470.webp,True
222679128,https://kolesa.kz/a/show/222679128?search_id=021a79c5f9aad0e07439cf1514c6d312a0bd39fa&search_type=filter&advert_position=924,2026-06-08 19:47:46.872631+03:00,Lexus,ES 200,"    2015 - 2018 6 поколение рестайлинг (V6)
",2018,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,2.0,170000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",6,10950000,222679128.webp,https://kolesa-photos.kcdn.online/webp/d7/d71cefa7-eb77-44ed-87cf-a1f9979a0d04/7-750x470.webp,True
222678749,https://kolesa.kz/a/show/222678749?search_id=021a79c5f9aad0e07439cf1514c6d312a0bd39fa&search_type=filter&advert_position=925,2026-06-08 19:47:59.802693+03:00,Lexus,LX 570,"    2007 - 2012 3 поколение (J2)
",2011,"
                                    Актау, Мангистауская область

                            ","    Внедорожник
",бензин,5.7,225000,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",4,17700000,222678749.webp,https://kolesa-photos.kcdn.online/webp/25/256a6cc9-0120-4d5b-afee-a1f9967b79ec/1-750x470.webp,True
