kolesa_id,kolesa_url,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price,img_filename,img_url,found_img
212848051,https://kolesa.kz/a/show/212848051?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1582,2026-06-11 15:50:51.964884+03:00,Mercedes-Benz,C 280,"    1997 - 2001 W202/S202 рестайлинг
",1999,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.8,110000,"    Автомат
","    Задний привод
","    Слева
",,"    Да
",18,3000000,212848051.webp,https://kolesa-photos.kcdn.online/webp/3e/3e600388-79c9-4c71-86cf-a12dbffd35a6/18-750x470.webp,True
208718208,https://kolesa.kz/a/show/208718208?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1583,2026-06-11 15:51:08.474154+03:00,Mercedes-Benz,S 600,"    2013 - 2017 W222/C217/A217
",2015,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,6.0,95000,"    Автомат
","    Задний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",16,45000000,208718208.webp,https://kolesa-photos.kcdn.online/webp/be/be33d335-2060-45f7-93a1-a0cdaae3b829/4-750x470.webp,True
174173819,https://kolesa.kz/a/show/174173819?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1584,2026-06-11 15:51:22.631363+03:00,Mercedes-Benz,S 320,"    1998 - 2002 W220
",1999,"
                                    Петропавловск, Северо-Казахстанская область

                            ","    Седан
",бензин,3.2,200000,"    Автомат
","    Задний привод
","    Слева
","
                                        черный 
                                    ","    Да
",16,4500000,174173819.webp,https://kolesa-photos.kcdn.online/webp/db/dbf3202a-09e6-4d8e-ad02-9cb8377c3e11/20-750x470.webp,True
222156602,https://kolesa.kz/a/show/222156602?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1586,2026-06-11 15:51:47.927507+03:00,Mercedes-Benz,E 280,"    1999 - 2002 W210/S210 рестайлинг
",2001,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,2.8,855,"    Автомат
","    Задний привод
","    Слева
",,"    Да
",7,4200000,222156602.webp,https://kolesa-photos.kcdn.online/webp/61/612642e0-c08d-4714-827c-a1eeb9ee380b/1-750x470.webp,True
217497408,https://kolesa.kz/a/show/217497408?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1587,2026-06-11 15:52:02.939750+03:00,Mercedes-Benz,G 230,"    1979 - 1992 W460
",1987,"
                                    Алматы, Алматинская область

                            ","    Внедорожник
",бензин,2.3,362000,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",13,11900000,217497408.webp,https://kolesa-photos.kcdn.online/webp/09/097df9ed-1a1b-4dd7-a575-a1946f0728e6/4-750x470.webp,True
222911826,https://kolesa.kz/a/show/222911826?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1589,2026-06-11 15:52:31.249259+03:00,Mercedes-Benz,E 320,"    1995 - 1999 W210/S210
",1998,"
                                    Кызылорда, Кызылординская область

                            ","    Седан
",бензин,3.2,200000,"    Автомат
","    Задний привод
","    Слева
",,"    Да
",10,3000000,222911826.webp,https://kolesa-photos.kcdn.online/webp/54/547eae5d-e646-4795-a481-a1feae7386fb/2-750x470.webp,True
222847722,https://kolesa.kz/a/show/222847722?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1591,2026-06-11 15:52:55.972440+03:00,Mercedes-Benz,Sprinter,"    2006 - 2018 W906
",2010,"
                                    Туркестан, Туркестанская область

                            ","    Микроавтобус
",дизель,2.2,658555,"    Механика
","    Задний привод
","    Слева
","
                                        белый металлик
                                    ","    Да
",9,10500000,222847722.webp,https://kolesa-photos.kcdn.online/webp/7d/7d045382-41c8-4fa4-99d4-a1fd3de5ad52/1-750x470.webp,True
222217244,https://kolesa.kz/a/show/222217244?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1592,2026-06-11 15:53:10.195689+03:00,Mercedes-Benz,G 500,"    1990 - 2006 W463
",2004,"
                                    Актау, Мангистауская область

                            ","    Внедорожник
",бензин,5.0,150000,"    Автомат
","    Полный привод
","    Слева
","
                                        черный 
                                    ","    Да
",12,18000000,222217244.webp,https://kolesa-photos.kcdn.online/webp/3e/3e7ccefa-be60-4a27-8384-a1ef995a8b40/3-750x470.webp,True
222911951,https://kolesa.kz/a/show/222911951?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1593,2026-06-11 15:53:23.827322+03:00,Mercedes-Benz,GLK 350,"    2008 - 2012 X204
",2009,"
                                    Астана, Акмолинская область

                            ","    Кроссовер
",бензин,3.5,272000,"    Автомат
","    Полный привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",8,7600000,222911951.webp,https://kolesa-photos.kcdn.online/webp/88/889d65d7-22cb-462c-b420-a1feaf14a9fc/2-750x470.webp,True
222911737,https://kolesa.kz/a/show/222911737?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1594,2026-06-11 15:53:40.457416+03:00,Mercedes-Benz,S 320,"    1998 - 2002 W220
",1999,"
                                    Павлодар, Павлодарская область

                            ","    Седан
",бензин,3.2,300000,"    Автомат
","    Задний привод
","    Слева
",,"    Да
",6,2700000,222911737.webp,https://kolesa-photos.kcdn.online/webp/b6/b65d2a88-1397-4a4a-a062-a1feadf8f477/2-750x470.webp,True
221939580,https://kolesa.kz/a/show/221939580?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1597,2026-06-11 15:54:23.740935+03:00,Mercedes-Benz,S 320,"    1998 - 2002 W220
",1998,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,3.2,250000,"    Автомат
","    Задний привод
","    Слева
","
                                        синий металлик
                                    ","    Да
",9,3500000,221939580.webp,https://kolesa-photos.kcdn.online/webp/da/da937ec5-76c6-4c15-816e-a1ea77978bd9/2-750x470.webp,True
222910934,https://kolesa.kz/a/show/222910934?search_id=c2fc3f7ca70f43ae4be739f730408cc4a4ed89b1&search_type=filter&advert_position=1600,2026-06-11 15:55:07.920119+03:00,Mercedes-Benz,C 240,"    2000 - 2004 W203/S203/CL203
",2003,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.6,240000,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",15,3500000,222910934.webp,https://kolesa-photos.kcdn.online/webp/e4/e4bc9595-9771-4072-8996-a1fea9cbd8ee/2-750x470.webp,True
221939580,https://kolesa.kz/a/show/221939580?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1603,2026-06-11 15:56:34.336246+03:00,Mercedes-Benz,S 320,"    1998 - 2002 W220
",1998,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,3.2,250000,"    Автомат
","    Задний привод
","    Слева
","
                                        синий металлик
                                    ","    Да
",9,3500000,221939580.webp,https://kolesa-photos.kcdn.online/webp/da/da937ec5-76c6-4c15-816e-a1ea77978bd9/2-750x470.webp,True
222910934,https://kolesa.kz/a/show/222910934?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1606,2026-06-11 15:57:16.541482+03:00,Mercedes-Benz,C 240,"    2000 - 2004 W203/S203/CL203
",2003,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.6,240000,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",15,3500000,222910934.webp,https://kolesa-photos.kcdn.online/webp/e4/e4bc9595-9771-4072-8996-a1fea9cbd8ee/2-750x470.webp,True
216487895,https://kolesa.kz/a/show/216487895?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1609,2026-06-11 15:57:56.223028+03:00,Mercedes-Benz,C 230,"    2004 - 2007 W203/S203/CL203 рестайлинг
",2007,"
                                    Атырау, Атырауская область

                            ","    Седан
",бензин,2.5,208789,"    Автомат
","    Задний привод
","    Слева
",,"    Нет
",11,3500000,216487895.webp,https://kolesa-photos.kcdn.online/webp/89/89782a8b-0b39-43b7-bd55-a17f1e41fca8/13-750x470.webp,True
162960332,https://kolesa.kz/a/show/162960332?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1611,2026-06-11 15:58:24.050689+03:00,Mercedes-Benz,S 320,"    1996 - 1999 W140 [2-й рестайлинг]
",1998,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,3.2,320000,"    Автомат
","    Задний привод
","    Слева
","
                                        серебристый 
                                    ","    Да
",20,8000000,162960332.webp,https://kolesa-photos.kcdn.online/webp/62/627972a9-47ac-4631-bca8-9ac680a0f579/2-750x470.webp,True
220434511,https://kolesa.kz/a/show/220434511?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1612,2026-06-11 15:58:40.376256+03:00,Mercedes-Benz,GLE 400,"    2015 - 2019 W166/C292
",2015,"
                                    Алматы, Алматинская область

                            ","    Кроссовер
",бензин,3.0,65000,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",37,23000000,220434511.webp,https://kolesa-photos.kcdn.online/webp/44/4463cca7-da9e-45eb-8b53-a1cc8edf83cc/17-750x470.webp,True
215498708,https://kolesa.kz/a/show/215498708?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1613,2026-06-11 15:58:56.754726+03:00,Mercedes-Benz,E 280,"    1995 - 1999 W210/S210
",1996,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.8,350000,"    Автомат
","    Задний привод
","    Слева
","
                                        красный 
                                    ","    Да
",8,2300000,215498708.webp,https://kolesa-photos.kcdn.online/webp/f6/f65db12c-c660-4473-850d-a16a55d9accf/2-750x470.webp,True
202468272,https://kolesa.kz/a/show/202468272?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1615,2026-06-11 15:59:27.857646+03:00,Mercedes-Benz,A 170,"    2008 - 2012 W169 рестайлинг
",2008,"
                                    Уральск, Западно-Казахстанская область

                            ","    Хэтчбек
",бензин,1.7,108000,"    Вариатор
","    Передний привод
","    Слева
","
                                        серебристый 
                                    ","    Да
",6,3500000,202468272.webp,https://kolesa-photos.kcdn.online/webp/e0/e053ba81-6e5e-4e73-9640-a034707081ef/2-750x470.webp,True
222909625,https://kolesa.kz/a/show/222909625?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1616,2026-06-11 15:59:41.198468+03:00,Mercedes-Benz,E 240,"    1995 - 1999 W210/S210
",1998,"
                                    Тараз, Жамбылская область

                            ","    Седан
",бензин,2.4,444444,"    Автомат
","    Задний привод
","    Слева
","
                                        синий металлик
                                    ","    Да
",12,3750000,222909625.webp,https://kolesa-photos.kcdn.online/webp/ee/eecc2b52-251c-4f0c-bda6-a1fea2a9248e/1-750x470.webp,True
222310388,https://kolesa.kz/a/show/222310388?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1617,2026-06-11 15:59:53.918057+03:00,Mercedes-Benz,E 320,"    1999 - 2002 W210/S210 рестайлинг
",2001,"
                                    Астана, Акмолинская область

                            ","    Универсал
",бензин,3.2,148000,"    Автомат
","    Задний привод
","    Слева
","
                                        зеленый металлик
                                    ","    Да
",16,6200000,222310388.webp,https://kolesa-photos.kcdn.online/webp/7c/7cdd29bf-dff4-4a6a-a651-a1f18450b201/1-750x470.webp,True
203825482,https://kolesa.kz/a/show/203825482?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1618,2026-06-11 16:00:08.378618+03:00,Mercedes-Benz,GL 400,"    2012 - 2016 X166
",2014,"
                                    Караганда, Карагандинская область

                            ","    Внедорожник
",бензин,3.0,198000,"    Автомат
","    Полный привод
","    Слева
","
                                        коричневый металлик
                                    ","    Да
",11,17500000,203825482.webp,https://kolesa-photos.kcdn.online/webp/f9/f9fc7766-d465-43c8-aa92-a0543bcf94a4/3-750x470.webp,True
222908809,https://kolesa.kz/a/show/222908809?search_id=eed6768dc9c6f3d90a4ad4f7def3a45202c3050a&search_type=filter&advert_position=1619,2026-06-11 16:00:21.525865+03:00,Mercedes-Benz,E 220,"    1993 - 1997 W124 [2-й рестайлинг]
",1995,"
                                    Кызылорда, Кызылординская область

                            ","    Седан
",бензин,2.2,623421,"    Автомат
","    Задний привод
","    Слева
","
                                        синий металлик
                                    ","    Да
",16,2300000,222908809.webp,https://kolesa-photos.kcdn.online/webp/0f/0f28a914-339c-48ca-a274-a1fe9d2fd1bb/1-750x470.webp,True
222310388,https://kolesa.kz/a/show/222310388?search_id=0c008f73768011c4c49fc9a7a7cabdb8a833fca6&search_type=filter&advert_position=1621,2026-06-11 16:01:26.462030+03:00,Mercedes-Benz,E 320,"    1999 - 2002 W210/S210 рестайлинг
",2001,"
                                    Астана, Акмолинская область

                            ","    Универсал
",бензин,3.2,148000,"    Автомат
","    Задний привод
","    Слева
","
                                        зеленый металлик
                                    ","    Да
",16,6200000,222310388.webp,https://kolesa-photos.kcdn.online/webp/7c/7cdd29bf-dff4-4a6a-a651-a1f18450b201/1-750x470.webp,True
203825482,https://kolesa.kz/a/show/203825482?search_id=0c008f73768011c4c49fc9a7a7cabdb8a833fca6&search_type=filter&advert_position=1622,2026-06-11 16:01:42.540867+03:00,Mercedes-Benz,GL 400,"    2012 - 2016 X166
",2014,"
                                    Караганда, Карагандинская область

                            ","    Внедорожник
",бензин,3.0,198000,"    Автомат
","    Полный привод
","    Слева
","
                                        коричневый металлик
                                    ","    Да
",11,17500000,203825482.webp,https://kolesa-photos.kcdn.online/webp/f9/f9fc7766-d465-43c8-aa92-a0543bcf94a4/3-750x470.webp,True
222908809,https://kolesa.kz/a/show/222908809?search_id=0c008f73768011c4c49fc9a7a7cabdb8a833fca6&search_type=filter&advert_position=1623,2026-06-11 16:01:56.985756+03:00,Mercedes-Benz,E 220,"    1993 - 1997 W124 [2-й рестайлинг]
",1995,"
                                    Кызылорда, Кызылординская область

                            ","    Седан
",бензин,2.2,623421,"    Автомат
","    Задний привод
","    Слева
","
                                        синий металлик
                                    ","    Да
",16,2300000,222908809.webp,https://kolesa-photos.kcdn.online/webp/0f/0f28a914-339c-48ca-a274-a1fe9d2fd1bb/1-750x470.webp,True
221991608,https://kolesa.kz/a/show/221991608?search_id=0c008f73768011c4c49fc9a7a7cabdb8a833fca6&search_type=filter&advert_position=1625,2026-06-11 16:02:22.177815+03:00,Mercedes-Benz,CLS 550,"    2004 - 2008 C219
",2007,"
                                    Уральск, Западно-Казахстанская область

                            ","    Седан
",бензин,5.5,202000,"    Автомат
","    Задний привод
","    Слева
","
                                        белый металлик
                                    ","    Нет
",23,5000000,221991608.webp,https://kolesa-photos.kcdn.online/webp/ce/ce553336-9b9f-4a5f-bb4d-a1eb4a0d3c00/22-750x470.webp,True
222908747,https://kolesa.kz/a/show/222908747?search_id=0c008f73768011c4c49fc9a7a7cabdb8a833fca6&search_type=filter&advert_position=1626,2026-06-11 16:02:34.521641+03:00,Mercedes-Benz,S 500,"    2005 - 2009 W221
",2006,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,5.5,240000,"    Автомат
","    Задний привод
","    Слева
",,"    Да
",5,5500000,222908747.webp,https://kolesa-photos.kcdn.online/webp/bb/bbbf6694-1a93-4e43-89c2-a1fe9ccfc4cd/2-750x470.webp,True
196709833,https://kolesa.kz/a/show/196709833?search_id=0c008f73768011c4c49fc9a7a7cabdb8a833fca6&search_type=filter&advert_position=1627,2026-06-11 16:02:50.894504+03:00,Mercedes-Benz,Vito,"    1996 - 2003 W638
",2002,"
                                    Уральск, Западно-Казахстанская область

                            ","    Минивэн
",дизель,2.1,450000,"    Автомат
","    Передний привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",10,2000000,196709833.webp,https://kolesa-photos.kcdn.online/webp/fe/fe7ec496-900b-4867-8ed7-9fa73cf403a2/11-750x470.webp,True
222908915,https://kolesa.kz/a/show/222908915?search_id=0c008f73768011c4c49fc9a7a7cabdb8a833fca6&search_type=filter&advert_position=1628,2026-06-11 16:03:05.530502+03:00,Mercedes-Benz,GLC 200,"    2019 - 2022 X253/C253 рестайлинг
",2019,"
                                    Павлодар, Павлодарская область

                            ","    Кроссовер
",бензин,2.0,111555,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",16,17000000,222908915.webp,https://kolesa-photos.kcdn.online/webp/37/37df7f01-471d-4d1f-9dc9-a1fe9e0a76f2/1-750x470.webp,True
218761629,https://kolesa.kz/a/show/218761629?search_id=0c008f73768011c4c49fc9a7a7cabdb8a833fca6&search_type=filter&advert_position=1629,2026-06-11 16:03:17.723509+03:00,Mercedes-Benz,Sprinter,"    2006 - 2018 W906
",2008,"
                                    Уральск, Западно-Казахстанская область

                            ","    Микроавтобус
",дизель,2.2,426430,"    Механика
","    Задний привод
","    Слева
","
                                        белый 
                                    ","    Да
",7,6900000,218761629.webp,https://kolesa-photos.kcdn.online/webp/34/34d43dfd-5043-4b35-8160-a1ab2bc5d37a/1-750x470.webp,True
205180073,https://kolesa.kz/a/show/205180073?search_id=0c008f73768011c4c49fc9a7a7cabdb8a833fca6&search_type=filter&advert_position=1630,2026-06-11 16:03:32.841996+03:00,Mercedes-Benz,Sprinter,"    2018 - н.в. W907/W910
",2021,"
                                    Алматы, Алматинская область

                            ","    Микроавтобус
",дизель,2.0,128000,"    Механика
","    Задний привод
","    Слева
","
                                        белый 
                                    ","    Да
",20,32200000,205180073.webp,https://kolesa-photos.kcdn.online/webp/f8/f852cc80-6a89-4743-905b-a0748b7eb51a/9-750x470.webp,True
204725385,https://kolesa.kz/a/show/204725385?search_id=0c008f73768011c4c49fc9a7a7cabdb8a833fca6&search_type=filter&advert_position=1631,2026-06-11 16:03:46.046002+03:00,Mercedes-Benz,Sprinter,"    2018 - н.в. W907/W910
",2020,"
                                    Алматы, Алматинская область

                            ","    Микроавтобус
",дизель,2.0,145000,"    Автомат
","    Задний привод
","    Слева
","
                                        белый 
                                    ","    Да
",21,28400000,204725385.webp,https://kolesa-photos.kcdn.online/webp/99/99aeec04-3b73-4395-b5dc-a0693b23b97e/4-750x470.webp,True
