kolesa_id,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,publish_info,imgs_count,price,img_filename
222402687,2026-06-05 18:04:33.241401+03:00,Toyota,Alphard,"    2002 - 2005 1 поколение (H1)
",2003,"
                                    Актау, Мангистауская область

                            ","    Минивэн
",бензин,2.4,218000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",Объявление посмотрели 0 раз c 5 июня,3,6500000,222402687.webp
221935149,2026-06-05 18:04:44.784359+03:00,Toyota,Camry,"    2011 - 2014 XV50
",2011,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,3.5,280000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный 
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,20,8750000,221935149.webp
218712949,2026-06-05 18:04:57.920598+03:00,Toyota,Camry,"    1996 - 2000 XV20
",1998,"
                                    Талдыкорган, Жетысуская область

                            ","    Седан
",бензин,2.2,450000,"    Механика
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,8,2900000,218712949.webp
216573784,2026-06-05 18:05:09.676944+03:00,Toyota,Camry,"    1991 - 1996 XV10
",1995,"
                                    Шымкент, Туркестанская область

                            ","    Седан
",бензин,2.2,800000,"    Автомат
","    Передний привод
","    Слева
","
                                        зеленый металлик
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,11,2600000,216573784.webp
222381826,2026-06-05 18:05:25.440643+03:00,Toyota,Camry,"    2014 - 2018 XV50 рестайлинг (V55)
",2014,"
                                    Атырау, Атырауская область

                            ","    Седан
",бензин,2.5,230000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый металлик
                                    ","    Нет
",Объявление посмотрели 0 раз c 5 июня,3,4000000,222381826.webp
222380777,2026-06-05 18:05:38.242817+03:00,Toyota,Ipsum,"    2003 - 2009 2 поколение рестайлинг (M2)
",2006,"
                                    Атырау, Атырауская область

                            ","    Минивэн
",бензин,2.4,252000,"    Автомат
","    Передний привод
","    Справа
",,"    Нет
",Объявление посмотрели 0 раз c 5 июня,10,4100000,222380777.webp
221892453,2026-06-05 18:05:49.582384+03:00,Toyota,Camry,"    2011 - 2014 XV50
",2012,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.5,30000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,18,7100000,221892453.webp
222374346,2026-06-05 18:06:02.192366+03:00,Toyota,Venza,"    2012 - 2017 1 поколение рестайлинг (V1)
",2013,"
                                    Атырау, Атырауская область

                            ","    Кроссовер
",бензин,2.7,253000,"    Автомат
","    Полный привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,8,9999999,222374346.webp
221504357,2026-06-05 18:06:19.258779+03:00,Toyota,Land Cruiser Prado,"    2017 - 2020 J150 [2-й рестайлинг]
",2019,"
                                    Усть-Каменогорск, Восточно-Казахстанская область

                            ","    Внедорожник
",бензин,2.7,76900,"    Автомат
","    Полный привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,10,25000000,221504357.webp
221984990,2026-06-05 18:06:28.924444+03:00,Toyota,Land Cruiser Prado,"    2013 - 2017 J150 рестайлинг
",2016,"
                                    Астана, Акмолинская область

                            ","    Внедорожник
",бензин,2.7,180000,"    Автомат
","    Полный привод
","    Слева
","
                                        белый металлик
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,45,15300000,221984990.webp
218415619,2026-06-05 18:06:41.445768+03:00,Toyota,Land Cruiser Prado,"    2002 - 2009 J120
",2005,"
                                    Костанай, Костанайская область

                            ","    Внедорожник
",бензин,2.7,999,"    Автомат
","    Полный привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,7,9300000,218415619.webp
221867753,2026-06-05 18:06:55.329960+03:00,Toyota,Land Cruiser Prado,"    2023 - н.в. J250
",2024,"
                                    Актау, Мангистауская область

                            ","    Внедорожник
",бензин,2.4,6500,"    Автомат
","    Полный привод
","    Слева
","
                                        белый 
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,14,41900000,221867753.webp
221379264,2026-06-05 18:07:09.428218+03:00,Toyota,RAV4,"    2019 - н.в. 5 поколение (A5/H5)
",2022,"
                                    Астана, Акмолинская область

                            ","    Кроссовер
",бензин,2.0,42000,"    Вариатор
","    Полный привод
","    Слева
","
                                        белый металлик
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,9,15700000,221379264.webp
221066624,2026-06-05 18:07:23.382585+03:00,Toyota,Crown,"    2022 - н.в. S230
",2024,"
                                    Шымкент, Туркестанская область

                            ","    Кроссовер
",гибрид,2.4,11020,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",Объявление посмотрели 0 раз c 5 июня,13,22500000,221066624.webp
217605732,2026-06-05 18:07:40.270931+03:00,Toyota,RAV4,"    2015 - 2019 4 поколение рестайлинг (A4)
",2018,"
                                    Актобе, Актюбинская область

                            ","    Кроссовер
",бензин,2.0,127000,"    Вариатор
","    Полный привод
","    Слева
","
                                        серебристый металлик
                                    ","    Да
",Объявление посмотрели 0 раз c 5 июня,23,10900000,217605732.webp
