kolesa_id,kolesa_url,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price,img_filename,img_url,found_img
222136300,https://kolesa.kz/a/show/222136300?search_id=fc4417c3b8fed9cc16879deeed725cc5d3581684&search_type=filter&advert_position=1,2026-06-05 22:55:52.052879+03:00,Toyota,Sequoia,"    2008 - 2017 2 поколение (K6)
",2012,"
                                    Алматы, Алматинская область

                            ","    Внедорожник
",бензин,5.7,335000,"    Автомат
","    Полный привод
","    Слева
",,"    Да
",19,19000000,222136300.webp,https://kolesa-photos.kcdn.online/webp/2c/2cf457d8-6f95-4244-a764-a1edeba93e4d/3-750x470.webp,False
221974049,https://kolesa.kz/a/show/221974049?search_id=fc4417c3b8fed9cc16879deeed725cc5d3581684&search_type=filter&advert_position=2,2026-06-05 22:56:08.562861+03:00,Toyota,Camry,"    2011 - 2014 XV50
",2012,"
                                    Тараз, Жамбылская область

                            ","    Седан
",бензин,2.5,175000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",32,8000000,221974049.webp,https://kolesa-photos.kcdn.online/webp/c4/c44e30f7-703d-466c-aaff-a1eb04e423c7/31-750x470.webp,False
222337311,https://kolesa.kz/a/show/222337311?search_id=fc4417c3b8fed9cc16879deeed725cc5d3581684&search_type=filter&advert_position=3,2026-06-05 22:56:17.468240+03:00,Toyota,Camry,"    2006 - 2009 XV40
",2009,"
                                    Уральск, Западно-Казахстанская область

                            ","    Седан
",бензин,2.4,482400,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Нет
",4,3000000,222337311.webp,https://kolesa-photos.kcdn.online/webp/47/472390f6-3e8f-431f-a75b-a1f1f1fe50f8/4-750x470.webp,True
208267508,https://kolesa.kz/a/show/208267508?search_id=fc4417c3b8fed9cc16879deeed725cc5d3581684&search_type=filter&advert_position=7,2026-06-05 22:56:45.066212+03:00,Toyota,Camry,"    2000 - 2001 XV20 рестайлинг (V25)
",2000,"
                                    Талдыкорган, Жетысуская область

                            ","    Седан
",бензин,2.2,4660,"    Автомат
","    Передний привод
","    Слева
","
                                        синий 
                                    ","    Да
",10,3500000,208267508.webp,https://kolesa-photos.kcdn.online/webp/70/70f4fe13-2946-42f9-b6a6-a0c3c78abd48/1-750x470.webp,True
222427605,https://kolesa.kz/a/show/222427605?search_id=fc4417c3b8fed9cc16879deeed725cc5d3581684&search_type=filter&advert_position=9,2026-06-05 22:56:57.072508+03:00,Toyota,Camry,"    2011 - 2014 XV50
",2014,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.5,180000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый 
                                    ","    Да
",48,10000000,222427605.webp,https://kolesa-photos.kcdn.online/webp/f9/f90988ad-f3d5-4766-b217-a1f3df631353/4-750x470.webp,True
211616241,https://kolesa.kz/a/show/211616241?search_id=fc4417c3b8fed9cc16879deeed725cc5d3581684&search_type=filter&advert_position=10,2026-06-05 22:57:02.545864+03:00,Toyota,FJ Cruiser,"    2006 - н.в. 1 поколение (GSJ1)
",2007,"
                                    Астана, Акмолинская область

                            ","    Внедорожник
",бензин,4.0,245000,"    Автомат
","    Полный привод
","    Слева
","
                                        жёлтый металлик
                                    ","    Да
",11,14700000,211616241.webp,https://kolesa-photos.kcdn.online/webp/4f/4fdb52f7-78e8-4fc2-ba2d-a11265ca514f/4-750x470.webp,True
211617215,https://kolesa.kz/a/show/211617215?search_id=fc4417c3b8fed9cc16879deeed725cc5d3581684&search_type=filter&advert_position=12,2026-06-05 22:57:18.910875+03:00,Toyota,FJ Cruiser,"    2006 - н.в. 1 поколение (GSJ1)
",2007,"
                                    Усть-Каменогорск, Восточно-Казахстанская область

                            ","    Внедорожник
",бензин,4.0,245000,"    Автомат
","    Полный привод
","    Слева
","
                                        жёлтый металлик
                                    ","    Да
",13,14700000,211617215.webp,https://kolesa-photos.kcdn.online/webp/03/03b4acb2-33f4-4900-9a4e-a1126a93d3ab/4-750x470.webp,True
219510494,https://kolesa.kz/a/show/219510494?search_id=fc4417c3b8fed9cc16879deeed725cc5d3581684&search_type=filter&advert_position=13,2026-06-05 22:57:28.552919+03:00,Toyota,4Runner,"    2009 - 2013 5 поколение (N28)
",2012,"
                                    Жанаозен, Мангистауская область

                            ","    Внедорожник
",газ-бензин,4.0,434430,"    Автомат
","    Полный привод
","    Слева
","
                                        серый 
                                    ","    Да
",22,13000000,219510494.webp,https://kolesa-photos.kcdn.online/webp/e9/e90f6399-442d-4000-a841-a1b9b2803546/1-750x470.webp,True
222268819,https://kolesa.kz/a/show/222268819?search_id=fc4417c3b8fed9cc16879deeed725cc5d3581684&search_type=filter&advert_position=15,2026-06-05 22:57:41.998172+03:00,Toyota,4Runner,"    2003 - 2009 4 поколение (N21)
",2007,"
                                    Талдыкорган, Жетысуская область

                            ","    Внедорожник
",бензин,4.0,270000,"    Автомат
","    Полный привод
","    Слева
","
                                        серый 
                                    ","    Да
",7,13000000,222268819.webp,https://kolesa-photos.kcdn.online/webp/52/522cf56f-c7ef-454b-b5a2-a1f0eafc549a/10-750x470.webp,True
221745884,https://kolesa.kz/a/show/221745884?search_id=fc4417c3b8fed9cc16879deeed725cc5d3581684&search_type=filter&advert_position=16,2026-06-05 22:57:48.022910+03:00,Toyota,Camry,"    2014 - 2018 XV50 рестайлинг (V55)
",2017,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.5,189000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",13,10000000,221745884.webp,https://kolesa-photos.kcdn.online/webp/3d/3dfc06f4-1dcd-4d8a-9f02-a1e62cdfb2e5/2-750x470.webp,True
