model,task,accuracy,macro_f1,weighted_f1
BaseLine_FC,body_type,0.5473684210526316,0.5351065238142796,0.5547482666127509
Base_CNN,body_type,0.6421052631578947,0.6384350384706764,0.6479118872899118
Reg_CNN,body_type,0.675187969924812,0.6746516389729466,0.6780881298867515
ResNet18_finetune,body_type,0.8932330827067669,0.8866726672667267,0.8937661164612702
ResNet18_reg_finetune,body_type,0.968421052631579,0.9658029870044005,0.96826453783865
BaseLine_FC,brand,0.1518796992481203,0.15043840698500327,0.1502135565180729
Base_CNN,brand,0.19849624060150375,0.1890364082425004,0.1873162384468705
Reg_CNN,brand,0.28421052631578947,0.26067585087066253,0.25922303716790185
ResNet18_finetune,brand,0.5819548872180451,0.5764395155714186,0.577551181481853
ResNet18_reg_finetune,brand,0.8842105263157894,0.8845514648830763,0.8834268822524015
