kolesa_id,kolesa_url,parsed_at,brand,model,generation,year,city,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,color,kz_registration,imgs_count,price,img_filename,img_url,found_img
221971452,https://kolesa.kz/a/show/221971452?search_id=4f7639fd76888e9597285f777b0fe98204b712f1&search_type=filter&advert_position=581,2026-06-08 10:31:39.616294+03:00,Kia,K5,"    2023 - н.в. 3 поколение рестайлинг
",2025,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,2.0,36500,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",13,14100000,221971452.webp,https://kolesa-photos.kcdn.online/webp/72/724fd475-a74a-4721-90c4-a1eafaf3b988/3-750x470.webp,True
184557634,https://kolesa.kz/a/show/184557634?search_id=4f7639fd76888e9597285f777b0fe98204b712f1&search_type=filter&advert_position=582,2026-06-08 10:31:55.104766+03:00,Kia,Sorento,"    2017 - 2020 3 поколение рестайлинг (UM)
",2020,"
                                    Астана, Акмолинская область

                            ","    Кроссовер
",бензин,3.5,70000,"    Автомат
","    Полный привод
","    Слева
","
                                        коричневый 
                                    ","    Да
",11,13500000,184557634.webp,https://kolesa-photos.kcdn.online/webp/3f/3f1b5883-9d4d-4ece-af5f-9e842cf484d7/13-750x470.webp,True
222310850,https://kolesa.kz/a/show/222310850?search_id=4f7639fd76888e9597285f777b0fe98204b712f1&search_type=filter&advert_position=583,2026-06-08 10:32:07.399668+03:00,Kia,K7,"    2012 - 2015 1 поколение рестайлинг
",2014,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,3.0,117000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",25,9500000,222310850.webp,https://kolesa-photos.kcdn.online/webp/13/136ae1e8-5887-497f-b7fc-a1f1856bbea4/2-750x470.webp,True
206731143,https://kolesa.kz/a/show/206731143?search_id=4f7639fd76888e9597285f777b0fe98204b712f1&search_type=filter&advert_position=585,2026-06-08 10:32:37.197220+03:00,Kia,Soul,"    2013 - 2016 2 поколение (PS)
",2014,"
                                    Караганда, Карагандинская область

                            ","    Хэтчбек
",бензин,1.6,117000,"    Автомат
","    Передний привод
","    Слева
","
                                        красный металлик
                                    ","    Да
",15,6300000,206731143.webp,https://kolesa-photos.kcdn.online/webp/95/95f3046d-9536-4c31-b28a-a09aa5626f8a/53-750x470.webp,True
221564600,https://kolesa.kz/a/show/221564600?search_id=4f7639fd76888e9597285f777b0fe98204b712f1&search_type=filter&advert_position=587,2026-06-08 10:33:04.907473+03:00,Kia,Soul,"    2011 - 2014 1 поколение рестайлинг (AM)
",2013,"
                                    Панфилово (Талгарский р-н), Алматинская область

                            ","    Хэтчбек
",бензин,2.0,151000,"    Автомат
","    Передний привод
","    Слева
","
                                        бежевый металлик
                                    ","    Да
",13,5600000,221564600.webp,https://kolesa-photos.kcdn.online/webp/d4/d458481e-2ba6-4f85-b46e-a1e2bd9485e1/1-750x470.webp,True
200542204,https://kolesa.kz/a/show/200542204?search_id=4f7639fd76888e9597285f777b0fe98204b712f1&search_type=filter&advert_position=588,2026-06-08 10:33:21.301730+03:00,Kia,Carnival,"    2014 - 2020 3 поколение (YP)
",2015,"
                                    Павлодар, Павлодарская область

                            ","    Минивэн
",бензин,3.3,190000,"    Автомат
","    Передний привод
","    Слева
","
                                        черный металлик
                                    ","    Да
",12,14000000,200542204.webp,https://kolesa-photos.kcdn.online/webp/77/7762f841-d6be-44af-b023-a005efdd4efd/2-750x470.webp,True
222121866,https://kolesa.kz/a/show/222121866?search_id=4f7639fd76888e9597285f777b0fe98204b712f1&search_type=filter&advert_position=589,2026-06-08 10:33:38.164297+03:00,Kia,Optima,"    2013 - 2015 3 поколение рестайлинг
",2015,"
                                    Костанай, Костанайская область

                            ","    Седан
",бензин,2.4,157000,"    Автомат
","    Передний привод
","    Слева
","
                                        белый металлик
                                    ","    Да
",21,8000000,222121866.webp,https://kolesa-photos.kcdn.online/webp/50/50e735e3-de1f-48ef-9861-a1eda75ccac7/2-750x470.webp,True
221927818,https://kolesa.kz/a/show/221927818?search_id=4f7639fd76888e9597285f777b0fe98204b712f1&search_type=filter&advert_position=590,2026-06-08 10:33:53.668100+03:00,Kia,Optima,"    2013 - 2015 3 поколение рестайлинг
",2015,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,2.4,163000,"    Автомат
","    Передний привод
","    Слева
","
                                        серый металлик
                                    ","    Да
",11,7900000,221927818.webp,https://kolesa-photos.kcdn.online/webp/27/27ccca0f-6c98-4cb1-a4d8-a1e9cf3c5273/1-750x470.webp,True
222113484,https://kolesa.kz/a/show/222113484?search_id=4f7639fd76888e9597285f777b0fe98204b712f1&search_type=filter&advert_position=591,2026-06-08 10:34:05.936409+03:00,Kia,Cerato,"    2008 - 2013 2 поколение
",2012,"
                                    Алматы, Алматинская область

                            ","    Седан
",бензин,1.6,274000,"    Автомат
","    Передний привод
","    Слева
",,"    Да
",4,4100000,222113484.webp,https://kolesa-photos.kcdn.online/webp/a2/a293165f-6dd3-49bd-a3c7-a1ed8c955d59/1-750x470.webp,True
221271610,https://kolesa.kz/a/show/221271610?search_id=4f7639fd76888e9597285f777b0fe98204b712f1&search_type=filter&advert_position=592,2026-06-08 10:34:17.783754+03:00,Kia,Cerato,"    2018 - н.в. 4 поколение (BD/BDM)
",2021,"
                                    Астана, Акмолинская область

                            ","    Седан
",бензин,1.6,140000,"    Автомат
","    Передний привод
","    Слева
","
                                        серый металлик
                                    ","    Да
",5,7700000,221271610.webp,https://kolesa-photos.kcdn.online/webp/ff/ffdd084d-45d0-488d-a719-a1dcc9a82c2f/2-750x470.webp,True
